,name,url,keywords
35,exploratory data analysis,https://en.wikipedia.org/wiki/Exploratory_data_analysis,"['eda', 'data', 'tukey', 'analysis', 'ida', 'exploratory', 'procedures', 'hypothesis', 'analyzing', 'testing']"
36,information architecture,https://en.wikipedia.org/wiki/Information_architecture,"['architecture', 'ia', 'structural', 'shared', 'design', 'activities', 'systems', 'wurman', 'saul', 'labelling']"
37,infographic,https://en.wikipedia.org/wiki/Infographic,"['infographics', 'graphics', 'quickly', 'years', 'visualization', 'visual', 'twit', 'isotypes', 'clipped', 'utilizing']"
38,data analysis,https://en.wikipedia.org/wiki/Data_analysis,"['data', 'analysis', 'business', 'eda', 'discovering', 'descriptive', 'focuses', 'modeling', 'inspecting', 'confirmatory']"
39,data art,https://en.wikipedia.org/wiki/Information_art,"['art', 'informatism', 'data', 'new', 'artforms', 'abundant', 'realization', 'principally', 'installations', 'economical']"
40,data profiling,https://en.wikipedia.org/wiki/Data_profiling,"['data', 'assess', 'candidates', 'database', 'source', 'metadata', 'challenges', 'including', 'late', 'existing']"
41,climate change art,https://en.wikipedia.org/wiki/Climate_change_art,"['art', 'climate', 'change', 'fossil', 'artists', 'data', 'major', 'humans', 'waking', 'vivid']"
42,business intelligence,https://en.wikipedia.org/wiki/Business_intelligence,"['business', 'bi', 'technologies', 'mining', 'analytics', 'enterprises', 'opportunities', 'predictive', 'data', 'intelligence']"
43,radial basis function network,https://en.wikipedia.org/wiki/Radial_basis_function_network,"['radial', 'basis', 'function', 'layer', 'network', 'rbf', 'linear', 'functions', 'activation', 'output']"
44,business analysis,https://en.wikipedia.org/wiki/Business_analysis,"['business', 'analysts', 'work', 'solutions', 'development', 'software', 'systems', 'tak', 'digitise', 'consultation']"
45,parallel distributed processing,https://en.wikipedia.org/wiki/Connectionism,"['connectionism', 'difficulty', 'approach', 'networks', 'increased', 'phenomena', 'numerically', 'graceful', 'deciphering', 'cognitive']"
46,parallel constraint satisfaction processes,https://en.wikipedia.org/wiki/Parallel_constraint_satisfaction_processes,"['dissonance', 'beliefs', 'pcsp', 'cognitive', 'attitude', 'theory', 'attitudes', 'integrates', 'model', 'explanation']"
47,optical neural network,https://en.wikipedia.org/wiki/Optical_neural_network,"['optical', 'neural', 'networks', 'synaptic', 'electrochemical', 'short', 'plasticity', 'biological', 'term', 'network']"
48,nonlinear system identification,https://en.wikipedia.org/wiki/Nonlinear_system_identification,"['system', 'nonlinear', 'models', 'identification', 'outputs', 'systems', 'inputs', 'volterra', 'obscure', 'narmax']"
49,balanced scorecard,https://en.wikipedia.org/wiki/Balanced_scorecard,"['scorecard', 'balanced', 'survey', 'management', 'respondents', 'strategy', 'performance', 'track', 'team', 'report']"
50,big data,https://en.wikipedia.org/wiki/Big_data,"['data', 'big', 'higher', 'analytics', 'traditional', 'exceed', 'velocity', 'treats', 'dealt', 'capturing']"
51,neuroscience,https://en.wikipedia.org/wiki/Neuroscience,"['nervous', 'biology', 'molecular', 'study', 'neuroscience', 'neurons', 'system', 'biological', 'trepanation', 'surgical']"
52,neural network software,https://en.wikipedia.org/wiki/Neural_network_software,"['neural', 'simulators', 'network', 'networks', 'software', 'simulate', 'intended', 'artificial', 'biological', 'softw']"
